,station_id,variable,file_name
273,25462001,RR,SH_MRR125462001.csv
274,25621001,RR,SH_MRR125621001.csv
275,26035001,RR,SH_MRR126035001.csv
276,26047001,RR,SH_MRR126047001.csv
277,26059001,RR,SH_MRR026059001.csv
278,26113003,RR,SH_MRR126113003.csv
279,26116002,RR,SH_MRR126116002.csv
280,26168001,RR,SH_MRR126168001.csv
281,26182001,RR,SH_MRR126182001.csv
282,26198001,RR,SH_MRR126198001.csv
283,26211001,RR,SH_MRR126211001.csv
284,26258001,RR,SH_MRR126258001.csv
285,26295001,RR,SH_MRR026295001.csv
286,26307001,RR,SH_MRR126307001.csv
287,26327001,RR,SH_MRR126327001.csv
288,26330001,RR,SH_MRR126330001.csv
289,27016001,RR,SH_MRR127016001.csv
290,27112001,RR,SH_MRR027112001.csv
291,27306001,RR,SH_MRR127306001.csv
292,27375001,RR,SH_MRR027375001.csv
293,28070001,RR,SH_MRR228070001.csv
294,28195001,RR,SH_MRR128195001.csv
295,28198001,RR,SH_MRR228198001.csv
296,28239002,RR,SH_MRR028239002.csv
297,28280001,RR,SH_MRR228280001.csv
298,28322001,RR,SH_MRR228322001.csv
299,28363001,RR,SH_MRR128363001.csv
300,28373002,RR,SH_MRR128373002.csv
301,28386001,RR,SH_MRR128386001.csv
302,29018001,RR,SH_MRR129018001.csv
303,29041002,RR,SH_MRR129041002.csv
304,29075001,RR,SH_MRR129075001.csv
305,29082001,RR,SH_MRR129082001.csv
306,29120001,RR,SH_MRR129120001.csv
307,29155005,RR,SH_MRR129155005.csv
308,29158001,RR,SH_MRR129158001.csv
309,29163003,RR,SH_MRR129163003.csv
310,29168001,RR,SH_MRR129168001.csv
311,29178001,RR,SH_MRR029178001.csv
312,30009001,RR,SH_MRR230009001.csv
313,30076001,RR,SH_MRR130076001.csv
314,30129001,RR,SH_MRR230129001.csv
315,30153003,RR,SH_MRR030153003.csv
316,30189001,RR,SH_MRR230189001.csv
317,30202002,RR,SH_MRR230202002.csv
318,30212002,RR,SH_MRR230212002.csv
319,30224001,RR,SH_MRR230224001.csv
320,30243001,RR,SH_MRR230243001.csv
321,30258001,RR,SH_MRR130258001.csv
322,30263001,RR,SH_MRR230263001.csv
323,30269006,RR,SH_MRR130269006.csv
324,30305001,RR,SH_MRR130305001.csv
325,30334003,RR,SH_MRR230334003.csv
326,30349001,RR,SH_MRR030349001.csv
327,30350001,RR,SH_MRR130350001.csv
328,30352002,RR,SH_MRR230352002.csv
329,31042012,RR,SH_MRR031042012.csv
330,31069001,RR,SH_MRR131069001.csv
331,31070004,RR,SH_MRR131070004.csv
332,31157001,RR,SH_MRR131157001.csv
333,31374001,RR,SH_MRR131374001.csv
334,31403002,RR,SH_MRR131403002.csv
335,31451001,RR,SH_MRR031451001.csv
336,32013005,RR,SH_MRR132013005.csv
337,32132001,RR,SH_MRR132132001.csv
338,32147001,RR,SH_MRR132147001.csv
339,32190001,RR,SH_MRR132190001.csv
340,32256001,RR,SH_MRR132256001.csv
341,32355001,RR,SH_MRR132355001.csv
342,33042001,RR,SH_MRR233042001.csv
343,33063001,RR,SH_MRR133063001.csv
344,33095001,RR,SH_MRR233095001.csv
345,33214002,RR,SH_MRR233214002.csv
346,33236002,RR,SH_MRR233236002.csv
347,33484001,RR,SH_MRR133484001.csv
348,33504001,RR,SH_MRR233504001.csv
349,33529001,RR,SH_MRR233529001.csv
350,34032002,RR,SH_MRR234032002.csv
351,34046005,RR,SH_MRR034046005.csv
352,34064003,RR,SH_MRR134064003.csv
353,34142001,RR,SH_MRR234142001.csv
354,34144001,RR,SH_MRR134144001.csv
355,34151005,RR,SH_MRR134151005.csv
