station_id,station_name,department_id,altitude,latitude,longitude,city
5179001,VEYNES,5,823,44.536333,5.840667,VEYNES
5181002,VILLAR D'ARENE,5,1665,45.030833,6.361667,VILLAR-D'ARENE
5182001,VILLAR LOUBIERE,5,1072,44.826833,6.146,VILLAR-LOUBIERE
5183001,VILLAR ST PANCRACE,5,1310,44.880333,6.640333,VILLAR-SAINT-PANCRACE
6004002,ANTIBES-GAROUPE,6,75,43.564667,7.133,ANTIBES
6004004,ANTIBES-GOLF,6,13,43.579667,7.091167,ANTIBES
6004009,ANTIBES_SAPC,6,32,43.599167,7.111167,ANTIBES
6005001,ASCROS,6,1173,43.922,7.013667,ASCROS
6016001,BEUIL-OBS,6,1464,44.089833,6.988,BEUIL
6023004,BREIL SUR ROYA,6,305,43.940167,7.513667,BREIL-SUR-ROYA
6029001,CANNES,6,2,43.5565,6.9505,MANDELIEU-LA-NAPOULE
6033002,CARROS_SAPC,6,78,43.786667,7.209167,CARROS
6037002,CAUSSOLS,6,1268,43.752333,6.923167,CAUSSOLS
6038001,CHATEAUNEUF GRASSE,6,388,43.673667,6.991,CHATEAUNEUF-GRASSE
6050002,COURSEGOULES_SAPC,6,985,43.792,7.0485,COURSEGOULES
6059003,EZE,6,704,43.738833,7.365833,EZE
6071001,GUILLAUMES-OBS,6,788,44.090667,6.852333,GUILLAUMES
6073005,ISOLA 2000,6,1912,44.1895,7.149,ISOLA
6074005,LANTOSQUE_SAPC,6,550,43.972,7.307,LANTOSQUE
6075007,LEVENS,6,691,43.846333,7.21,LEVENS
6077006,PEIRA CAVA,6,1443,43.929167,7.363333,LUCERAM
6079002,MANDELIEU LA NAPOULE_SAPC,6,104,43.523667,6.898667,MANDELIEU-LA-NAPOULE
6081001,LE MAS,6,1525,43.813667,6.809333,LE MAS
6083005,MENTON,6,216,43.785833,7.488667,MENTON
6086001,MOULINET,6,817,43.942,7.414667,MOULINET
6088001,NICE,6,2,43.648833,7.209,NICE
6088007,NICE-RIMIEZ,6,238,43.738667,7.279167,NICE
6090002,PEGOMAS,6,109,43.602667,6.936667,PEGOMAS
6091003,PEILLE,6,1106,43.775167,7.428333,PEILLE
6094002,PEONE,6,1784,44.099667,6.930833,PEONE
6099004,PUGET THENIERS_SAPC,6,449,43.956833,6.892333,PUGET-THENIERS
6102001,RIMPLAS_SAPC,6,1130,44.067167,7.1335,RIMPLAS
6103002,BERTHEMONT-LES-BAINS_SAPC,6,938,44.044333,7.300833,ROQUEBILLIERE
6118002,ST CEZAIRE SUR SIAGNE,6,694,43.678667,6.809,SAINT-CEZAIRE-SUR-SIAGNE
6120004,ST ETIENNE DE TINEE_SAPC,6,1150,44.257667,6.921167,SAINT-ETIENNE-DE-TINEE
6125001,ST MARTIN D'ENTRAUNES_SAPC,6,1642,44.154667,6.747,SAINT-MARTIN-D'ENTRAUNES
6127001,ST-MARTIN-DE-VESUBIE-OBS,6,994,44.074167,7.254167,SAINT-MARTIN-VESUBIE
6136005,SOSPEL,6,843,43.862833,7.433667,SOSPEL
6152002,VALBONNE-SOPHIA,6,238,43.623167,7.0285,VALBONNE
6153400,MILLEFONTS-NIVOSE,6,2430,44.118333,7.192,VALDEBLORE
6163001,TENDE-OBS,6,792,44.086667,7.595,TENDE
6163007,TENDE_SAPC,6,636,44.043167,7.586,TENDE
7005001,ALBA LA ROMAINE,7,223,44.539833,4.5825,ALBA-LA-ROMAINE
